##########################
#                        #
#genearl annotation paths#
#                        #
##########################
#this is the dir that I put almost all the annotation files, so I can reuse this to refer to the dir
anno	/home/ruping/shared/annotation/
#species, e.g., hg19, mm10, which is the prefix of many annotation files
species	hg38
#chromosomes to be analyzed
chrs	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22,chrX,chrY
#genome fasta file
GFASTA	$anno/$species/WholeGenomeFasta/genome.fa
#Rscript bin
R	R
RscriptBin	Rscript
#java bin
java	java
#size of chromosomes
chromosomeSize	$anno/$species/WholeGenomeFasta/hg38_chromosome_size.txt
####################
#                  #
#For read alignment#
#                  #
####################
#BWA bin
bwaBin	bwa
#BWA mapping index
BWAINDEX	$anno/$species/BWAIndex/genome.fa
#bowtieBin
bowtieBin	bowtie2
#bowtie2 mapping index
BowtieINDEX	$anno/$species/Bowtie2Index/genome
#blat database
blatDatabase	$anno/$species/BlatDatabase/hg38_genome_UCSC.2bit
####################
#                  #
#for bam processing#
#                  #
####################
#java bin for gatk
gatkBin	/srv/gsfs0/projects/curtis/ruping/tools/gatk/GenomeAnalysisTK.jar
#java bin for markduplicates
MarkDuplicatesBin	/home/ruping/shared/tools/picard-tools/picard.jar
#samtools bin
samtoolsBin	samtools
#bcftools bin
bcftoolsBin	bcftools
#known indels for indel Realignment
KNOWNINDEL1	$anno/$species/knownVar/Homo_sapiens_assembly38.known_indels.vcf
#known indels for indel Realignment
KNOWNINDEL2	$anno/$species/knownVar/Mills_and_1000G_gold_standard.indels.hg38.vcf
####################
#                  #
#mutect snv calling#
#                  #
####################
#muTect bin
muTectBin	/home/ruping/shared/tools/muTect/muTect-1.1.4.jar
#vcfSortBin
vcfSortBin	vcf-sort
#mutect cosmic annotation vcf
#muTectCOSMIC	$anno/hg19.other/hg19_cosmic_v54_120711.nochr.vcf
#mutect dbSNP annotation vcf
muTectDBSNP	$anno/$species/knownVar/Homo_sapiens_assembly38.dbsnp138.vcf
####################
#                  #
#strelka indel call#
#                  #
####################
#strelka Bin
strelkaBin	/home/ruping/ruping/tools/strelka/strelka_workflow-1.0.15/bin/configureStrelkaWorkflow.pl
#strelka config file
strelkaConfig	/home/ruping/ruping/tools/strelka/strelka_workflow-1.0.15/etc/strelka_config_bwa_default_wes.ini
####################
#                  #
#variant annotation#
#                  #
####################
#annovar bin dir
ANNOVARDIR	/home/ruping/shared/tools/annovar.new/annovar/
#annovar annotation dir
ANNOVARDB	$anno/annovardb/humandb.hg38/
#UCSC repeat masker file
repeatMasker	$anno/$species/WholeGenomeFasta/hg38.repeats_UCSC.gff
#UCSC self chain file
selfChain	$anno/$species/WholeGenomeFasta/hg38.SelfChain_UCSC.txt
############################
#                          #
#sequencing stats, TitanCNA#
#                          #
############################
#target region
targetRegion	$anno/hg38/SureSelectAllExon/nexterarapidcapture_exome_targetedregions_v1.2.sorted.bed.w5
#genome bed 1kb
w1kBed	$anno/$species/WholeGenomeFasta/hg38.w1k.bed
#targeted region for TitanCNA
targetRegionTitan	$anno/hg38/SureSelectAllExon/nexterarapidcapture_exome_targetedregions_v1.2.sorted.bed
#gc wig for TitanCNA
gcWigTitan	$anno/$species/WholeGenomeFasta/UCSC_hg38.gc.wig
#map wig for TitanCNA
mapWigTitan	$anno/$species/WholeGenomeFasta/UCSC_hg38.map.wig
